,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
108,open,142.0,136.0,20.0,macds,0.8125397410829336,0.7374346692849424,6.0,210.0,72.0,4H,0.1338266843169326
109,high,151.0,391.0,3.0,macd,0.2449734187139917,0.2328082737141804,6.0,191.0,2.0,4H,0.1337998278463356
110,HLC/3,63.0,116.0,25.0,macd,0.4749839256601915,0.5033076372822461,6.0,440.0,55.0,4H,0.133712131218068
111,low,32.0,551.0,25.0,macd,0.648240252175058,0.5993916296412584,2.0,406.0,68.0,4H,0.1325966767922757
112,open,180.0,173.0,22.0,macds,0.8369065860832867,0.6692420239963202,4.0,275.0,94.0,4H,0.1308498995649329
113,HLC/3,74.0,585.0,5.0,macds,0.6218990385725425,0.5952753751853574,2.0,251.0,28.0,4H,0.1304757146880594
114,HLC/3,9.0,408.0,12.0,macd,0.5989284291693856,0.6145500620350816,5.0,314.0,116.0,4H,0.1302250346857988
115,close,49.0,521.0,44.0,macd,0.6249042728369201,0.5886943438531719,6.0,368.0,100.0,4H,0.130202164053872
116,HL/2,212.0,300.0,13.0,macdh,0.6045120278682292,0.5885701929488955,6.0,59.0,133.0,4H,0.128761142146543
117,close,136.0,420.0,33.0,macd,0.4593265374782774,0.4447449928476415,6.0,495.0,13.0,4H,0.1268851706861414
118,open,175.0,215.0,6.0,macd,0.5794234333665926,0.5650012164348002,5.0,429.0,117.0,4H,0.1252368770831822
119,high,68.0,211.0,44.0,macds,0.5542425133619852,0.2925050242900053,3.0,18.0,13.0,4H,0.124835509247997
120,HLCC/4,90.0,402.0,28.0,macdh,0.5472583007351746,0.564485419356159,5.0,338.0,105.0,4H,0.1228378233286098
121,HLC/3,85.0,317.0,43.0,macds,0.64320160991824,0.4706586850772568,3.0,252.0,81.0,4H,0.1220117014616657
122,HLC/3,292.0,673.0,30.0,macd,0.6068197834076722,0.2407304061376599,4.0,67.0,11.0,4H,0.1205750105430659
123,OHLC/4,94.0,700.0,40.0,macd,0.2855092766159148,0.3831309543279354,2.0,25.0,4.0,4H,0.1205116823418162
