,RSI_apply_to,RSI_length,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
875,HLC/3,43.0,-0.7500813674712743,-0.7603609012410155,2.0,344.0,373.0,4H,-0.131642477932238
876,open,40.0,-0.3546176902918198,-0.4020885708523871,6.0,379.0,66.0,4H,-0.1316438887155102
877,close,66.0,-0.208686206542742,-0.2188309383474724,5.0,485.0,15.0,4H,-0.1316813157068573
878,HL/2,133.0,-0.7700536155171804,-0.7418487639939446,1.0,26.0,166.0,4H,-0.1317140521790809
879,close,45.0,-0.7292541102943567,-0.7840117540291,4.0,239.0,429.0,4H,-0.1317509686532963
880,low,106.0,-0.7582205797514333,-0.7579954212765053,2.0,274.0,329.0,4H,-0.1319797740489326
881,HL/2,38.0,-0.7556574865078758,-0.765764629320995,6.0,200.0,274.0,4H,-0.1322797689607014
882,OHLC/4,122.0,-0.7613711777878492,-0.7611472903616059,6.0,127.0,300.0,4H,-0.1323452554113342
883,HL/2,77.0,-0.771490331065945,-0.754034976537846,6.0,211.0,308.0,4H,-0.1325136622862477
884,high,100.0,-0.7544873212436598,-0.7722372628058134,3.0,19.0,151.0,4H,-0.1325829151397116
885,open,225.0,-0.5373475574208614,-0.5431862073986927,2.0,174.0,71.0,4H,-0.1326675370531209
886,HLC/3,42.0,-0.7595859870483964,-0.7696928025749882,6.0,324.0,271.0,4H,-0.132734796095752
887,close,43.0,-0.7393774466277216,-0.7931820400623466,3.0,461.0,325.0,4H,-0.1328718619244693
888,HL/2,93.0,-0.7821538320389626,-0.7498114140715848,1.0,264.0,320.0,4H,-0.1328723875039861
889,HLC/3,8.0,-0.7708591544925023,-0.765591336926333,6.0,165.0,406.0,4H,-0.1331508711095509
890,HL/2,220.0,-0.3635079362418713,-0.4058886397520636,5.0,387.0,30.0,4H,-0.1331517642803037
891,HL/2,37.0,-0.7649025741659037,-0.7748400977392903,4.0,315.0,365.0,4H,-0.1333396774866027
892,HLCC/4,123.0,-0.7873026734690629,-0.7600044366092484,3.0,46.0,207.0,4H,-0.1337640106283944
893,HLC/3,41.0,-0.7689340455107465,-0.7788659645147129,1.0,368.0,175.0,4H,-0.133804463972898
894,OHLC/4,65.0,-0.7837471268413969,-0.7666965509184983,5.0,298.0,226.0,4H,-0.1339532189073942
895,HLC/3,73.0,-0.7843307127542798,-0.7672998221323034,3.0,91.0,333.0,4H,-0.1340215912627453
896,low,88.0,-0.7779765253822473,-0.7777595502021474,5.0,368.0,286.0,4H,-0.1342632881237375
897,HLC/3,219.0,-0.3895108831074304,-0.4450878618697457,1.0,130.0,32.0,4H,-0.1343892285662323
898,close,40.0,-0.7537942807079118,-0.8061926929713126,1.0,405.0,166.0,4H,-0.1344571481614096
899,HL/2,11.0,-0.7823200491761674,-0.7771681063408558,3.0,250.0,269.0,4H,-0.1344785879999552
900,HL/2,11.0,-0.7823200491761674,-0.7771681063408558,1.0,23.0,174.0,4H,-0.1344785879999552
901,close,38.0,-0.763595736302592,-0.815003355212351,1.0,313.0,182.0,4H,-0.1355275625261775
902,HLC/3,111.0,-0.8032482250363625,-0.7768366914060283,3.0,461.0,356.0,4H,-0.1356479282775708
903,HLC/3,39.0,-0.787400806971821,-0.796971525687705,5.0,82.0,334.0,4H,-0.1359042017441364
904,close,37.0,-0.768720797991589,-0.8195985382319212,5.0,93.0,413.0,4H,-0.1360848981404691
905,HL/2,100.0,-0.8084780131062715,-0.7823683295265313,6.0,339.0,405.0,4H,-0.1362635886059108
906,close,118.0,-0.8086380776212231,-0.7825377226781598,6.0,133.0,182.0,4H,-0.1362824148479246
907,HLCC/4,110.0,-0.8094370498714835,-0.7833833406110052,6.0,145.0,250.0,4H,-0.1363763723964337
908,HLCC/4,33.0,-0.7921178440274429,-0.8015927377088646,6.0,56.0,371.0,4H,-0.1364377411509624
909,HLC/3,38.0,-0.7966256559550245,-0.8060075414016429,6.0,319.0,238.0,4H,-0.1369465603195724
910,HL/2,94.0,-0.8154716357163937,-0.7897746811929237,3.0,297.0,146.0,4H,-0.1370852366105438
911,close,35.0,-0.7796798916566325,-0.8293960320284245,2.0,377.0,380.0,4H,-0.1372711986980929
912,high,66.0,-0.8103948435707335,-0.8161877305554242,2.0,395.0,326.0,4H,-0.1383085115048833
913,HL/2,285.0,-0.463157919405743,-0.4780413429182436,4.0,391.0,51.0,4H,-0.1385028147031665
914,HLCC/4,88.0,-0.3188976891487943,-0.3487573939690493,3.0,351.0,35.0,4H,-0.1387166778427108
915,high,210.0,-0.3482381177682807,-0.4806027230358682,4.0,345.0,38.0,4H,-0.1388654392390671
916,HL/2,32.0,-0.8165415985049668,-0.8254317662953059,4.0,15.0,370.0,4H,-0.1391788236483386
917,close,32.0,-0.7986099226287918,-0.846221381447593,6.0,146.0,258.0,4H,-0.13930270912886
918,HLC/3,283.0,-0.4683705671742578,-0.4833804605550899,3.0,343.0,47.0,4H,-0.1395361205464504
919,HLCC/4,262.0,-0.363599357534252,-0.5363475365085013,1.0,96.0,36.0,4H,-0.1397652302640407
920,HLCC/4,92.0,-0.840818827025276,-0.8167133115803756,1.0,21.0,304.0,4H,-0.1400481418557161
921,close,31.0,-0.8057566640292626,-0.8525385929185267,2.0,219.0,188.0,4H,-0.1400638248158154
922,HLCC/4,28.0,-0.827202741057155,-0.8356478727789709,2.0,407.0,152.0,4H,-0.1403562499080535
923,low,73.0,-0.8374756478174189,-0.8337222301586751,5.0,485.0,138.0,4H,-0.1408265435603132
924,high,289.0,-0.47362320634082,-0.4918731896381034,4.0,376.0,39.0,4H,-0.1408712787695787
925,close,30.0,-0.813382392249857,-0.8592564462274639,5.0,414.0,322.0,4H,-0.1408723801268044
926,OHLC/4,39.0,-0.8340077090734412,-0.8389694479624764,2.0,51.0,316.0,4H,-0.140926305723444
927,HLCC/4,263.0,-0.527723263725174,-0.5305652490955495,1.0,420.0,57.0,4H,-0.1409445693408602
928,HLC/3,33.0,-0.8330686310763206,-0.8413803332571536,3.0,245.0,369.0,4H,-0.1410082024932336
929,HLCC/4,25.0,-0.8338103073608832,-0.8409126388577757,2.0,99.0,304.0,4H,-0.1410238965496855
930,OHLC/4,62.0,-0.8473547351568723,-0.8327118022922695,4.0,440.0,424.0,4H,-0.1413209855186917
931,OHLC/4,62.0,-0.8473547351568723,-0.8327118022922695,2.0,301.0,289.0,4H,-0.1413209855186917
932,HL/2,32.0,-0.8400915412030961,-0.8484363155106652,4.0,380.0,425.0,4H,-0.1417975142123191
933,HL/2,189.0,-0.9931353197562948,-0.7265965214612821,2.0,91.0,59.0,4H,-0.1423816137859257
934,OHLC/4,37.0,-0.8476780687881464,-0.8524469100493339,2.0,397.0,440.0,4H,-0.1424468204448177
935,HLC/3,31.0,-0.8485464957512804,-0.8564908782714111,4.0,248.0,350.0,4H,-0.1427204235501299
936,HLCC/4,22.0,-0.8510106309987405,-0.8577619693199743,5.0,331.0,202.0,4H,-0.1429290765882879
937,high,7.0,-0.8902299168937652,-0.8221224213683843,1.0,37.0,409.0,4H,-0.143053851942806
938,HL/2,29.0,-0.8530475269752155,-0.8610697814835955,6.0,446.0,370.0,4H,-0.1432266572076774
939,OHLC/4,36.0,-0.8549859453979625,-0.8596471006951815,6.0,77.0,419.0,4H,-0.1432560778448556
940,HLC/3,189.0,-0.9955700822372496,-0.7422577077287902,5.0,125.0,58.0,4H,-0.1435144116367942
941,HLC/3,31.0,-0.297672376848179,-0.3314905414175537,4.0,236.0,37.0,4H,-0.1435854092354495
942,close,27.0,-0.8393788684368001,-0.8819628714350696,2.0,336.0,228.0,4H,-0.1436005517360753
943,close,27.0,-0.8393788684368001,-0.8819628714350696,2.0,172.0,367.0,4H,-0.1436005517360753
944,HLC/3,30.0,-0.8570008085364273,-0.8647343728698351,4.0,485.0,225.0,4H,-0.1436507777842912
945,HLC/3,13.0,-0.8647860769573569,-0.8581888466474379,6.0,462.0,205.0,4H,-0.1437199912383874
946,OHLC/4,177.0,-0.9936492618097956,-0.7471254755412412,3.0,261.0,73.0,4H,-0.1437348952941243
947,close,22.0,-0.4585086004899408,-0.4628300605706819,2.0,219.0,90.0,4H,-0.1437581118925532
948,HLCC/4,12.0,-0.899032186412882,-0.8283247807173694,6.0,493.0,379.0,4H,-0.1438838208152792
949,close,24.0,-0.8366628073193281,-0.89276232535856,6.0,437.0,391.0,4H,-0.1440286101462962
950,HL/2,71.0,-0.8715926076793495,-0.8580420709086433,5.0,413.0,339.0,4H,-0.1440878531603097
951,close,49.0,-0.8445013227332389,-0.8863976949824309,5.0,428.0,289.0,4H,-0.1441328523098407
952,high,10.0,-0.8956932468581915,-0.8398799508947349,5.0,264.0,219.0,4H,-0.1443706245053969
953,close,163.0,-0.4090857741102186,-0.4610955399764026,5.0,425.0,32.0,4H,-0.1445135025605926
954,close,26.0,-0.8491230234043776,-0.8903867196467156,6.0,25.0,257.0,4H,-0.1446115875736345
955,low,224.0,-0.4315371024805359,-0.4390024843554522,6.0,219.0,43.0,4H,-0.1447221593774417
956,HLCC/4,69.0,-0.8778387072313152,-0.8645902308183558,4.0,405.0,357.0,4H,-0.1447977057282781
957,HLC/3,69.0,-0.8795140812538259,-0.8663482283550631,4.0,470.0,170.0,4H,-0.1449879001307194
958,open,42.0,-0.9985007278246044,-0.768074567525174,4.0,212.0,131.0,4H,-0.1453016638267947
959,high,62.0,-0.8752407514295417,-0.8800129571390422,2.0,499.0,391.0,4H,-0.1455097840241314
960,HL/2,70.0,-0.8850133084702052,-0.8721236752227818,3.0,18.0,236.0,4H,-0.1456115940937039
961,OHLC/4,33.0,-0.8793109353157256,-0.8835871487513703,6.0,35.0,192.0,4H,-0.1459320282963241
962,low,213.0,-0.4374850222845485,-0.4447903255017983,1.0,302.0,42.0,4H,-0.1460201649670881
963,OHLC/4,158.0,-0.998381093747239,-0.783064486980487,3.0,147.0,68.0,4H,-0.1462349865077343
964,HL/2,289.0,-0.3978116622044839,-0.5640966754073138,5.0,353.0,32.0,4H,-0.1464602245021463
965,close,57.0,-0.8682394144378422,-0.9067510182758431,2.0,322.0,179.0,4H,-0.1465758810864612
966,low,178.0,-0.4169059281389739,-0.4223157695192654,5.0,31.0,35.0,4H,-0.1468867509979461
967,OHLC/4,32.0,-0.8883125667652413,-0.8924344026906992,3.0,45.0,441.0,4H,-0.1469154152611005
968,high,61.0,-0.8899918488761875,-0.8944874323175506,5.0,216.0,235.0,4H,-0.147120577557351
969,low,226.0,-0.8904404901377984,-0.8941634545461251,1.0,291.0,86.0,4H,-0.1471275271843498
970,close,226.0,-0.890462810382533,-0.8941854138480511,1.0,275.0,107.0,4H,-0.1471299609091779
971,close,221.0,-0.8909652317217538,-0.8946796989230291,2.0,285.0,83.0,4H,-0.1471847372912041
972,close,220.0,-0.8910577997932795,-0.8947707655158362,3.0,26.0,91.0,4H,-0.1471948282608122
973,close,217.0,-0.8913214049128594,-0.8950300907469361,3.0,43.0,117.0,4H,-0.1472235620858437
974,close,216.0,-0.8914049054081132,-0.8951122342479928,5.0,392.0,114.0,4H,-0.1472326632592373
975,low,204.0,-0.891588813835096,-0.8952931517387906,2.0,78.0,123.0,4H,-0.1472527073277741
976,close,213.0,-0.8916437366879492,-0.8953471807891714,4.0,32.0,119.0,4H,-0.1472586930398451
977,low,145.0,-0.9999821041190304,-0.7983872453048797,4.0,354.0,60.0,4H,-0.1472612908764763
978,close,212.0,-0.891719808362841,-0.895422014047456,1.0,9.0,123.0,4H,-0.1472669834098172
979,close,195.0,-0.8928653746600536,-0.8965488684414186,5.0,428.0,112.0,4H,-0.1473917967755219
980,HLCC/4,152.0,-0.9998112398149488,-0.8058189873561191,4.0,104.0,75.0,4H,-0.1477083910422569
981,HLCC/4,242.0,-0.8980209474570918,-0.9016187354875708,5.0,477.0,88.0,4H,-0.147952779620776
982,HLCC/4,240.0,-0.898220684377317,-0.9018151013591784,4.0,145.0,118.0,4H,-0.1479744889998025
983,close,168.0,-0.9999300037118152,-0.8102950914588873,6.0,208.0,67.0,4H,-0.1479872386008006
984,HLCC/4,221.0,-0.8994536063852137,-0.903027128609309,1.0,118.0,112.0,4H,-0.1481084551699688
985,HLCC/4,202.0,-0.8998789134141045,-0.9034451930997716,1.0,134.0,122.0,4H,-0.1481546519940071
986,close,19.0,-0.878250261150596,-0.926299075353876,4.0,267.0,372.0,4H,-0.1481869080507639
987,close,165.0,-0.9999955247553922,-0.8154439011984634,3.0,7.0,69.0,4H,-0.148303264931039
988,HL/2,68.0,-0.9093892195454883,-0.8978300977774254,5.0,448.0,266.0,4H,-0.1483660897993058
989,HLC/3,237.0,-0.902221051072708,-0.9057471214426536,1.0,492.0,125.0,4H,-0.1484089081427821
990,high,203.0,-0.9040438030357048,-0.9053464180644266,5.0,33.0,116.0,4H,-0.1484868807601966
991,HLC/3,200.0,-0.9029841194662652,-0.9064969687543616,1.0,336.0,114.0,4H,-0.1484916911390371
992,high,52.0,-0.8863156517679184,-0.9253834149774884,6.0,73.0,143.0,4H,-0.1485901566577537
993,high,60.0,-0.9040563577934082,-0.9082668697960524,1.0,165.0,212.0,4H,-0.1486470596733008
994,OHLC/4,96.0,-0.2973782461798135,-0.3072277695262582,5.0,104.0,20.0,4H,-0.1487158946746169
995,close,161.0,-0.9999592807250076,-0.8223402172680987,1.0,247.0,63.0,4H,-0.148718368491382
996,high,222.0,-0.9076276391588906,-0.9089068069701058,6.0,401.0,117.0,4H,-0.1488774837464981
997,OHLC/4,10.0,-0.912641478606482,-0.9041041418769712,1.0,385.0,380.0,4H,-0.1488879502828249
998,OHLC/4,10.0,-0.912641478606482,-0.9041041418769712,6.0,267.0,370.0,4H,-0.1488879502828249
999,OHLC/4,30.0,-0.9076822545108376,-0.9114449020414328,2.0,382.0,433.0,4H,-0.1490189224829175
1000,OHLC/4,30.0,-0.9076822545108376,-0.9114449020414328,3.0,463.0,432.0,4H,-0.1490189224829175
1001,HLC/3,67.0,-0.9159618235398248,-0.904796589449798,2.0,12.0,359.0,4H,-0.1491063387561004
1002,close,256.0,-0.9100328649845032,-0.9112960006320342,3.0,4.0,90.0,4H,-0.1491393264778918
1003,close,275.0,-0.910081310566565,-0.9113441207778064,3.0,461.0,91.0,4H,-0.1491445979626131
1004,close,269.0,-0.91020012862466,-0.91146214024103,1.0,253.0,121.0,4H,-0.1491575264344018
1005,close,267.0,-0.9102115592445116,-0.9114734940018692,1.0,48.0,124.0,4H,-0.1491587701572044
1006,high,242.0,-0.9105828664967504,-0.9118423015352968,5.0,75.0,119.0,4H,-0.1491991677176992
1007,HL/2,215.0,-0.9101325005705556,-0.9135184594318528,2.0,274.0,124.0,4H,-0.1492659149391143
1008,HL/2,237.0,-0.910296780121904,-0.9136797556751078,1.0,491.0,83.0,4H,-0.1492836803696623
1009,HL/2,237.0,-0.910296780121904,-0.9136797556751078,6.0,68.0,80.0,4H,-0.1492836803696623
1010,HL/2,236.0,-0.910316369904462,-0.9136989894990104,1.0,400.0,136.0,4H,-0.1492857987553875
1011,high,255.0,-0.9118665802055737,-0.9131173267916298,1.0,45.0,113.0,4H,-0.1493387888209323
1012,OHLC/4,58.0,-0.918608830098906,-0.907607218526023,2.0,279.0,211.0,4H,-0.1494042148190536
1013,OHLC/4,235.0,-0.911490288411833,-0.9148514951942732,2.0,375.0,110.0,4H,-0.1494127112109688
1014,OHLC/4,236.0,-0.9115003162200056,-0.9148613393915,1.0,144.0,80.0,4H,-0.1494137950480287
