,RSI_apply_to,RSI_length,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
125,HLCC/4,125.0,0.357023061503701,0.3224010601661912,1.0,36.0,494.0,4H,0.1048007145309254
126,HLC/3,53.0,0.4739152550497477,0.3980703063335172,4.0,157.0,316.0,4H,0.104216681633967
127,HL/2,145.0,0.2109796391683219,0.1849198030073463,2.0,14.0,127.0,4H,0.1029897489650324
128,close,70.0,0.2629995420866308,0.2273160663021169,1.0,47.0,268.0,4H,0.102475302690884
129,HLC/3,258.0,0.4342491206931647,0.4101046217612528,3.0,49.0,14.0,4H,0.1022339059874197
130,low,43.0,0.2165658727111793,0.1887287550992563,6.0,23.0,49.0,4H,0.1020470562194549
131,open,84.0,0.4339852757706384,0.4063883440344303,6.0,72.0,28.0,4H,0.1019035145952248
132,HL/2,49.0,0.4339689930687759,0.4010502047099648,5.0,143.0,468.0,4H,0.1014540910762763
133,close,44.0,0.2287180319521485,0.2006525494037384,6.0,44.0,340.0,4H,0.1003204002248456
134,close,135.0,0.1806423373294067,0.1612196860440965,6.0,12.0,123.0,4H,0.099671771538067
135,OHLC/4,45.0,0.4222041240448217,0.3889631285050595,2.0,142.0,200.0,4H,0.0995086235040775
136,HLC/3,15.0,0.2205133910061514,0.2010852481286803,6.0,55.0,299.0,4H,0.0991773774375603
137,low,35.0,0.1167657279414555,0.1038592246680177,4.0,11.0,496.0,4H,0.0989958110577915
138,high,70.0,0.3623283110839091,0.3296390635971377,3.0,182.0,310.0,4H,0.0984941211653989
139,HL/2,55.0,0.4089305155356523,0.3879564362654866,6.0,133.0,482.0,4H,0.0983696766665929
140,open,27.0,0.4904511520523115,0.4740529572558234,5.0,264.0,382.0,4H,0.0976099754400121
141,OHLC/4,183.0,0.4146031744195825,0.3728512941321069,3.0,41.0,321.0,4H,0.097522878025652
142,HL/2,51.0,0.217118465576218,0.210785687881653,3.0,43.0,469.0,4H,0.097093306694547
143,HLC/3,55.0,0.4932154527036855,0.4536583943526572,1.0,106.0,170.0,4H,0.0963700029977136
144,HL/2,18.0,0.4786144530430211,0.4655085929161485,1.0,213.0,153.0,4H,0.0962331054790111
145,HLC/3,21.0,0.4058917330685834,0.365199360545894,5.0,151.0,27.0,4H,0.0961679787690819
146,HLCC/4,44.0,0.490111337066154,0.4482362498885531,1.0,103.0,460.0,4H,0.0957827360615951
147,OHLC/4,26.0,0.4006764430574056,0.3643568826762305,6.0,249.0,225.0,4H,0.0956806270021977
148,HLC/3,43.0,0.4879566292138139,0.4476663000791129,5.0,105.0,123.0,4H,0.0956016098302154
149,high,55.0,0.3101155767407305,0.2815053301361737,5.0,72.0,33.0,4H,0.0955733335880515
150,HL/2,42.0,0.3961903344830905,0.3627179823937892,5.0,139.0,228.0,4H,0.0951790585118691
151,HLCC/4,39.0,0.4862776420404091,0.4431965109237452,3.0,100.0,52.0,4H,0.095172952425572
152,high,29.0,0.4656419064670051,0.4518569700252884,5.0,273.0,225.0,4H,0.0944142784846747
153,low,18.0,0.1859848987301874,0.1321909056222191,1.0,25.0,385.0,4H,0.0942003954255757
154,HLC/3,16.0,0.3917836818277141,0.3422401260598818,4.0,139.0,388.0,4H,0.0930056873980295
155,HLC/3,244.0,0.2550181149585021,0.2572258198023143,6.0,18.0,33.0,4H,0.0923327163725971
156,HL/2,39.0,0.3790055290211241,0.3452947328335316,6.0,155.0,475.0,4H,0.0922562044603417
157,high,241.0,0.3647727469803921,0.3552589166891148,6.0,30.0,99.0,4H,0.0919544759641344
158,OHLC/4,145.0,0.3214378335596398,0.300119417511753,5.0,47.0,427.0,4H,0.0917262611059498
159,close,43.0,0.2478639634598921,0.1925717744553864,2.0,53.0,340.0,4H,0.0914061327386149
160,HL/2,56.0,0.4334579207353919,0.4376888112474794,5.0,99.0,272.0,4H,0.0912131511974607
161,open,198.0,0.2847399696908257,0.265511472027704,5.0,25.0,282.0,4H,0.0910983634283808
162,HLCC/4,38.0,0.3944423618959535,0.3178737884317975,1.0,156.0,173.0,4H,0.0909487022142557
163,HLCC/4,38.0,0.3944423618711516,0.3178737884059603,5.0,137.0,192.0,4H,0.0909487022098853
164,close,77.0,0.3654408477642621,0.3298693055165264,6.0,100.0,388.0,4H,0.0897642518194726
165,HLC/3,153.0,0.4519311894395746,0.38552709665788,1.0,66.0,374.0,4H,0.0886602744278519
166,open,231.0,0.2154528649185055,0.200774310256815,6.0,18.0,345.0,4H,0.0884558987630048
167,HLC/3,79.0,0.3494396986332695,0.3276053414261705,1.0,106.0,184.0,4H,0.0882317355829337
168,HL/2,58.0,0.2994635124813918,0.279345869836655,4.0,73.0,191.0,4H,0.0874699178452963
169,OHLC/4,86.0,0.3215034859653674,0.338979503661494,4.0,100.0,7.0,4H,0.0867967489680753
170,HLCC/4,34.0,0.3697415460636633,0.2938335795851483,5.0,131.0,211.0,4H,0.0867062312520144
171,close,34.0,0.3684899274119002,0.2930923343859996,2.0,134.0,499.0,4H,0.0865353943444742
172,low,66.0,0.2142667554732021,0.1506337469252215,3.0,29.0,430.0,4H,0.0864242639278954
173,OHLC/4,28.0,0.1834183080293576,0.1710992693543506,4.0,58.0,388.0,4H,0.0856196821370954
174,OHLC/4,14.0,0.1860663087545062,0.1674701617190894,5.0,67.0,122.0,4H,0.0854171465237356
5,HLC/3,33.0,0.36262799116724953,0.28597484036287446,4.0,128.0,45.0,4H,0.08537160905217604
175,open,201.0,0.2901227378073633,0.2669494200394879,5.0,27.0,411.0,4H,0.0852511498270763
176,HL/2,28.0,0.1863095444344994,0.1818402559707186,1.0,63.0,51.0,4H,0.0848006564829748
177,OHLC/4,127.0,0.3907629908815236,0.3870903840526494,5.0,72.0,380.0,4H,0.084578880620387
178,open,33.0,0.0514109430146078,0.0550118725518645,1.0,2.0,238.0,4H,0.084323628528651
179,high,21.0,0.2992664965142982,0.2451531801338289,6.0,152.0,462.0,4H,0.0837262948161108
180,high,26.0,0.3875171897463925,0.3700509537255526,4.0,233.0,231.0,4H,0.0830878453785786
181,high,26.0,0.3875171897463925,0.3700509537255526,1.0,224.0,173.0,4H,0.0830878453785786
182,HLCC/4,132.0,0.1535698790786426,0.143305174871972,1.0,19.0,277.0,4H,0.0830195588389831
183,low,27.0,0.1235626346441206,0.0909623769608214,4.0,19.0,332.0,4H,0.0825226162684693
