,RSI_apply_to,RSI_length,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
139,close,256.0,0.6633963940041664,0.672805104378318,1.0,94.0,134.0,4H,0.1213130323447295
140,close,249.0,0.6543265572217394,0.6637960347247344,1.0,7.0,139.0,4H,0.1202162188904641
141,HLCC/4,248.0,0.6486519004067522,0.6575289604963728,4.0,438.0,143.0,4H,0.1194892560894195
142,HL/2,225.0,0.4606514163805181,0.4582485792035393,4.0,92.0,59.0,4H,0.1190843000470053
143,HL/2,27.0,0.136031918572806,0.1292144263027693,5.0,343.0,7.0,4H,0.1190531854262504
144,open,226.0,0.4465715017549219,0.4442105213704219,1.0,114.0,60.0,4H,0.1166424440221756
145,HLC/3,239.0,0.6189380351518136,0.6387947952319225,3.0,280.0,139.0,4H,0.1165081154238873
146,low,217.0,0.4458473245474855,0.4431733879822646,4.0,187.0,50.0,4H,0.1164885595976657
147,HLCC/4,217.0,0.6131295149382867,0.6334032569839289,2.0,28.0,140.0,4H,0.1158148285976217
148,high,214.0,0.4172968633888976,0.4602182504285402,2.0,307.0,51.0,4H,0.1153895061935845
149,high,234.0,0.6144195401642311,0.6234775500457554,6.0,132.0,139.0,4H,0.1152874261600965
150,high,216.0,0.612497981279594,0.6207148153512733,3.0,113.0,129.0,4H,0.1149967556844529
151,close,271.0,0.5019087952995771,0.4999099584353882,4.0,8.0,50.0,4H,0.1146100270209746
152,OHLC/4,74.0,0.2489461973302165,0.2452734724659391,1.0,363.0,35.0,4H,0.113585381068019
153,HLCC/4,63.0,0.229663778833662,0.2277630003520295,3.0,290.0,26.0,4H,0.1135650171839397
154,HLCC/4,116.0,0.2856361895118514,0.282071913218906,1.0,400.0,44.0,4H,0.1131918592070847
155,low,219.0,0.5976138062977835,0.5936496101370224,3.0,320.0,131.0,4H,0.1123751454355892
156,close,202.0,0.4220222411216631,0.4195207553132821,3.0,190.0,50.0,4H,0.1123034055180624
157,HL/2,291.0,0.4744547694687905,0.4899657377525356,3.0,232.0,47.0,4H,0.1117302043265102
158,HLCC/4,211.0,0.5790725853454526,0.5997688830776571,6.0,124.0,137.0,4H,0.111581529140487
159,close,61.0,0.2282894126040184,0.2327503877344114,6.0,208.0,26.0,4H,0.1113738357742792
160,HL/2,209.0,0.5730906759011946,0.5940226664679986,6.0,145.0,144.0,4H,0.1108397277273486
6,HLCC/4,203.0,0.5663480020524756,0.5873158022441559,6.0,91.0,143.0,4H,0.10998623862832063
161,low,206.0,0.5780440500789132,0.5740508515741962,2.0,489.0,142.0,4H,0.1098981624088594
162,HLC/3,202.0,0.4082820398515195,0.405790078651857,3.0,374.0,58.0,4H,0.1098459112082396
163,OHLC/4,208.0,0.5754895852704769,0.5715693486577842,1.0,211.0,139.0,4H,0.1095776873314448
164,OHLC/4,207.0,0.5739241209159159,0.5700016906805169,4.0,72.0,143.0,4H,0.1093780570036742
165,close,254.0,0.4666428670194318,0.464683308244555,5.0,98.0,52.0,4H,0.1091685775520384
166,close,192.0,0.3987836622547206,0.3962762779158174,2.0,489.0,52.0,4H,0.108128905379976
167,HLC/3,272.0,0.45958547483039,0.4568686133329311,3.0,455.0,74.0,4H,0.1080031169528602
168,high,256.0,0.4343611129036716,0.4794534769967281,5.0,493.0,49.0,4H,0.1077083947480973
169,OHLC/4,247.0,0.4514960012949756,0.4488155776324245,5.0,245.0,49.0,4H,0.1067311102078369
170,close,274.0,0.340260749448166,0.3549638018073525,1.0,375.0,40.0,4H,0.1064956757940511
171,OHLC/4,190.0,0.3878269913335869,0.385275413918508,6.0,200.0,50.0,4H,0.106128763567276
172,HL/2,261.0,0.4427052428106207,0.4400305407674278,4.0,287.0,54.0,4H,0.1053374769572865
173,close,190.0,0.381191900749895,0.3785350158544639,2.0,310.0,61.0,4H,0.1049010665261625
174,high,267.0,0.4126108756617805,0.4622467491730066,1.0,381.0,58.0,4H,0.1045976504001451
175,low,160.0,0.3274988452851809,0.3249810797773381,6.0,407.0,57.0,4H,0.1020992652661955
176,OHLC/4,76.0,0.2325911901205395,0.2225890053787958,5.0,248.0,47.0,4H,0.101167803703945
177,HL/2,220.0,0.2264897695673021,0.2268425093442863,2.0,163.0,12.0,4H,0.100910031746839
178,OHLC/4,248.0,0.4134288750643227,0.410714962922478,2.0,45.0,57.0,4H,0.1006230615656109
179,HL/2,191.0,0.4952347696206231,0.5092667547338389,4.0,344.0,128.0,4H,0.1002933524626458
180,open,160.0,0.3176689003007841,0.3153307935077626,5.0,261.0,55.0,4H,0.1000568964233588
181,HLCC/4,187.0,0.4918239084909465,0.5054581218598089,1.0,394.0,141.0,4H,0.0998125005354438
182,open,38.0,0.1565969521329986,0.1857780991130563,3.0,38.0,23.0,4H,0.0996366029992291
183,HLC/3,115.0,0.1215595247499907,0.1127526116375007,1.0,259.0,3.0,4H,0.098628981380827
184,high,186.0,0.481387833650553,0.4959121378893289,6.0,248.0,142.0,4H,0.0984736297762275
185,high,186.0,0.481387833650553,0.4959121378893289,3.0,428.0,131.0,4H,0.0984736297762275
186,open,28.0,0.1464526673718099,0.1692236609581189,3.0,296.0,23.0,4H,0.0980198400803631
187,open,231.0,0.3925513899668672,0.3898943930561854,6.0,137.0,64.0,4H,0.0971996989640149
188,HL/2,238.0,0.3914237866391384,0.3887548488541746,5.0,2.0,75.0,4H,0.0970118443069262
189,high,244.0,0.3629792073950844,0.4141567563796418,3.0,275.0,55.0,4H,0.0966197515364563
190,open,186.0,0.4755169599191389,0.4704531902799602,4.0,209.0,128.0,4H,0.0963638493872821
191,low,171.0,0.3346308729007183,0.3317869879703754,4.0,207.0,53.0,4H,0.0961254636787934
192,close,171.0,0.3339935356008908,0.3312889258642582,5.0,478.0,53.0,4H,0.0960163050010338
193,low,297.0,0.2898966628149465,0.3042857986373529,5.0,66.0,39.0,4H,0.0959050847062223
194,OHLC/4,180.0,0.4721737950050008,0.466920505317316,1.0,429.0,137.0,4H,0.0958962459733646
195,OHLC/4,167.0,0.330048968377785,0.327428373682163,3.0,14.0,50.0,4H,0.0952638712189373
196,open,290.0,0.2878507913219231,0.2966162978261287,2.0,132.0,40.0,4H,0.0948682332211323
197,open,222.0,0.3730314767638762,0.3704005206552962,1.0,365.0,67.0,4H,0.0939412005624259
198,high,235.0,0.342572848830988,0.3943531225162267,3.0,362.0,61.0,4H,0.0932387604469123
199,open,135.0,0.1550963890731738,0.1618698815363372,1.0,19.0,11.0,4H,0.0929620954727693
200,HL/2,275.0,0.2789264627798414,0.2876215534275589,4.0,463.0,41.0,4H,0.0929188263508992
201,OHLC/4,107.0,0.2585179468749962,0.2574994302256372,1.0,346.0,52.0,4H,0.0927860611357073
202,low,165.0,0.3129821467160588,0.3101510872366593,1.0,63.0,56.0,4H,0.091916670952516
203,HLCC/4,119.0,0.4280540673079092,0.4456550692721638,3.0,19.0,81.0,4H,0.0913802811865427
